FT-002,DFT-001,PT-002,FT-001,PT-003,LT-001,TT-002,Current_3,Current_4,TT-001,PT-004
50.387598,3.782006,2.613665,2.274813,-1.263075,27.958157,31.717048,50.381391,77.23847,44.640538,-3.858538
61.374345,3.558631,-3.504354,2.012375,-1.921133,29.115513,30.909624,50.35269,75.799168,42.40131,-3.267942
47.760868,4.777969,6.106162,1.292722,-3.3008,26.976964,31.15554,50.471593,76.256383,42.370552,1.633186
50.539337,-2.283941,3.421202,1.341929,-1.767381,27.325196,33.752003,50.303489,78.325123,43.028786,-7.519004
56.756548,9.38276,2.919053,2.67052,-1.562379,27.337486,29.798903,50.461343,77.23847,44.341154,-2.665042
53.118906,1.921236,3.386359,5.53683,-0.916621,29.654248,30.788715,50.307589,75.700755,44.995288,-0.528232
52.138752,0.818709,4.480839,3.258954,-7.993307,26.432085,31.598189,50.475693,74.874489,43.182579,-1.889884
52.59397,3.077044,3.212144,2.539301,0.639348,28.132272,32.1515,50.424442,75.854526,42.747857,-2.302071
54.17698,4.394748,3.931549,-3.876068,-1.892433,28.480504,30.565342,50.512594,78.938159,43.313816,-1.582282
53.227584,2.802437,4.452145,5.975593,-2.564841,28.210112,29.829643,50.268638,72.305479,43.996658,-1.067561
52.63293,1.798277,1.24659,0.335235,-0.506616,27.706201,30.495665,50.465443,75.924236,43.160023,-1.832465
54.738825,2.837275,1.713896,-0.128131,3.958339,27.779944,32.76629,50.418292,78.583459,42.733503,-2.44767
58.825534,3.382391,3.269533,0.247072,-1.064223,27.693911,33.961032,50.285038,78.565006,40.363039,-2.271311
50.594702,2.447907,3.558524,2.615162,-1.627979,27.722589,32.270359,50.385491,67.68003,44.11354,-1.660208
49.782691,1.423254,2.699747,1.858603,0.508147,28.234693,31.104307,50.436742,78.999667,43.808005,-6.216822
60.439302,8.132683,2.550127,1.165604,-2.052335,28.14866,31.667865,50.405992,78.300519,43.939241,-0.91376
54.763432,2.505288,2.802227,1.602317,-0.156061,28.30434,32.010098,50.383441,73.5254,42.479232,-0.741503
42.072694,2.386428,7.362559,2.406032,-0.02076,26.571377,31.27235,50.518745,76.086209,45.247508,-1.871428
61.487124,2.404872,1.162557,1.460846,0.612698,27.886462,31.102258,50.299389,76.420406,43.766993,-8.095246
50.299425,9.368415,2.972342,0.273726,-0.301613,28.066723,28.817289,50.319889,75.206635,42.192152,-0.294454
48.829194,1.040034,3.765533,5.487623,-0.098661,27.958157,31.307188,50.35474,75.173831,42.331591,-3.376628
50.590601,4.562791,2.076673,1.460846,0.198593,26.028546,32.03264,50.594597,75.877079,44.000759,-4.31584
53.477749,4.527953,1.418755,-0.648906,5.307255,31.045124,31.678111,50.35884,75.442418,43.631655,-2.010874
50.758744,2.911051,-1.120684,-1.09587,-5.192973,28.599312,31.766231,50.543345,75.411664,43.096455,-2.714258
50.906382,3.700033,-0.063097,7.172965,-2.281937,27.126499,34.518441,50.377291,72.31368,42.518193,-4.283029
51.853728,4.548446,2.38821,-4.909416,0.678299,27.413278,34.827886,50.33834,81.980785,43.061595,-3.926211
49.991846,2.800388,4.27793,3.490637,-0.580417,27.997077,31.327681,50.385491,76.471663,43.752639,-3.001353
50.334284,2.536027,1.982392,3.982708,0.278544,27.654991,31.089962,50.461343,73.748881,42.452575,-3.023911
44.455411,2.939741,2.293929,1.233264,-0.541466,27.755363,31.186279,50.426492,75.606441,43.832612,-3.327412
58.060686,3.628308,2.652607,1.442394,-2.091285,28.191677,32.280606,50.34244,81.968483,43.332271,-6.370623
52.475039,6.403068,3.365863,2.695123,-3.571403,28.214209,30.89118,50.379341,73.45774,44.154552,-0.243187
48.644647,-1.257238,1.34497,2.272763,-0.240112,27.878269,31.758034,50.34859,75.686403,41.970689,-3.1408
50.324032,4.144733,1.279383,0.868311,-0.629617,27.691862,32.12076,50.512594,76.95143,43.871572,-4.145634
63.613525,6.433808,-1.790899,2.051331,-2.113835,30.029108,32.528571,50.391641,75.387061,41.562625,-3.329462
41.000266,4.277938,1.435152,2.264561,-1.515228,27.644749,31.30104,50.328089,75.112322,44.519554,1.877217
54.568631,-4.548424,1.875813,4.808976,-1.627979,27.597635,33.37903,50.35474,76.055454,44.298092,-4.88593
57.519346,4.704193,1.14411,-2.867324,-2.117935,28.271565,32.131007,50.36499,76.157969,43.75469,-1.686867
55.995801,2.236829,4.915351,2.168198,-1.69153,30.666166,32.643332,50.278888,76.514719,43.266653,-0.515928
52.138752,2.296259,0.562028,3.550096,-4.217161,26.493537,32.059281,50.453143,76.030851,43.555784,-2.351287
52.669839,3.575026,3.109665,1.981621,-0.689068,27.872123,31.766231,50.272738,76.215377,43.623453,-2.443568
53.498254,2.995072,3.4294,-6.730077,-1.535728,28.283855,31.868696,50.528995,82.235021,42.639177,-1.656107
51.521542,2.505288,3.136309,4.161083,-2.622242,27.503408,30.229256,50.303489,72.846754,43.049292,-1.943202
53.996533,2.386428,2.093069,3.355318,1.63361,27.970447,31.180132,50.483894,73.564355,43.914635,-1.857073
55.239155,2.683578,2.996937,1.710982,-1.70383,28.55015,31.421949,50.315789,75.973443,45.034248,-1.889884
60.849409,2.109772,1.826623,2.539301,2.002615,28.419051,32.212979,50.36499,75.015959,41.503158,-1.574079
44.728132,2.634394,1.93935,1.34808,1.176455,27.722589,33.305256,50.424442,71.975382,41.548271,1.321483
54.289759,-2.468378,2.816574,1.503902,1.211305,27.718492,32.713008,50.317839,78.329223,42.782717,-3.77241
56.215208,5.439894,2.929301,1.661775,-0.635767,27.804525,31.559252,50.461343,75.645397,46.890019,-2.14827
53.040986,1.402761,2.367714,2.039029,0.77875,29.402292,30.19032,50.328089,71.641185,44.244777,-0.946571
46.26603,1.990912,0.840771,1.214811,0.522497,26.520167,31.460886,50.36089,76.221528,43.937191,-2.310274
63.629929,3.970542,3.03383,1.216861,0.280594,28.486649,32.465043,50.385491,75.975493,42.831931,-4.652152
49.825753,10.391018,4.368112,-2.666395,-1.195424,28.636184,30.403447,50.192786,74.833483,42.967269,-1.079865
49.077309,0.87404,2.83297,8.563064,0.465096,28.378083,28.622605,50.389591,74.888841,44.314497,-2.316426
50.47167,1.505226,-2.274602,2.04723,-0.05766,25.639347,31.837957,50.442893,76.283036,43.045191,-3.659622
51.933699,3.331158,6.587815,0.308581,2.976377,29.045867,32.454796,50.33424,76.537272,42.819627,-1.883732
49.696569,1.443747,0.035284,1.510053,1.518809,28.51123,32.983516,50.305539,75.368608,44.236575,-2.558406
50.959696,2.597507,1.240441,10.14179,1.416308,27.226871,30.13089,50.36499,70.698053,44.14635,-3.552987
52.571414,2.818832,1.922954,0.054345,1.119054,28.408809,33.016304,50.604847,77.814601,43.012382,-3.159256
52.682143,3.347553,3.548277,2.81404,-2.968696,28.025755,32.680219,50.270688,76.52087,42.954965,-3.114141
49.792944,3.269679,3.445797,3.621856,3.476583,27.634507,32.016246,50.410092,74.398822,42.65148,-2.993151
43.200486,2.925396,2.521433,1.177906,-0.947371,27.773799,30.780518,50.36294,77.129805,44.765623,-3.341767
60.191188,2.589309,1.965995,1.428042,-1.824782,28.255178,30.667807,50.34654,77.224118,43.481963,-7.090412
50.016452,8.503607,2.148408,2.010325,-4.213061,27.736928,31.079716,50.332189,77.828953,43.803903,-0.897354
48.291955,-1.646607,2.162755,2.889901,-1.068323,27.790187,32.286754,50.33629,76.660289,40.875682,-2.326679
53.077895,1.638431,2.957995,2.647966,-2.347538,26.085902,31.491625,50.514644,77.320482,43.955646,-2.896769
62.303235,3.288123,3.710194,2.260461,-1.826832,30.037302,31.460886,50.35679,73.919055,44.060225,-2.154422
42.458194,1.779833,1.324474,0.866261,-1.482428,27.851639,31.444491,50.410092,75.959091,43.022634,-1.45514
56.049115,1.210126,1.467945,7.77165,-1.607479,27.353873,31.876894,50.526945,77.621874,43.674717,-2.950086
55.651312,3.583223,2.293929,-0.316758,-1.418877,28.054433,32.389219,50.301439,76.52702,45.015793,-1.66636
53.44289,1.876151,6.991584,4.029864,-1.902683,29.355178,30.753877,50.043132,75.438318,44.769724,-0.645121
52.575515,1.062576,-1.319494,3.283557,1.256406,27.458343,31.436294,50.385491,75.45267,43.32817,-2.640434
55.290418,4.493115,3.472442,0.952373,-1.519328,27.890559,31.774429,50.545395,77.23847,41.806643,-2.101104
54.541974,4.525904,6.151253,-3.650536,-3.757955,28.025755,33.825778,50.36499,81.144268,42.93446,-1.78735
51.658927,2.300357,4.230789,2.67257,-2.419289,27.622216,29.25379,50.674549,74.946249,44.228373,-1.387467
53.918613,2.199941,2.205797,2.416283,3.322831,27.978641,30.15958,50.610997,75.063115,41.851756,-1.781198
54.52557,2.429464,2.996937,0.825255,-5.391825,28.154805,31.956816,50.317839,77.185163,44.464189,-1.834516
60.445454,2.886459,2.988739,3.318412,-0.258563,27.743073,33.05934,50.278888,74.640756,43.172326,-2.234399
42.940069,2.337245,3.372012,2.711525,1.244106,27.728734,31.987556,50.492094,77.127755,43.97,1.46503
56.563798,-4.404973,2.078722,1.606417,0.946852,27.94177,31.446541,50.33834,77.794098,43.203085,-3.77241
56.850873,4.452129,2.254987,1.380885,-1.035522,27.999125,32.161746,50.371141,75.965242,45.382846,-2.041635
51.70814,2.484795,3.351516,1.540808,1.012453,30.231902,31.616632,50.629448,73.443388,43.988455,-0.70459
45.004954,2.286012,0.430854,1.647423,0.508147,26.598007,31.452688,50.401891,76.043153,45.060906,-3.009556
62.733847,3.771759,5.507682,1.911911,-0.393864,27.788138,30.680102,50.330139,75.942689,43.215388,-3.741649
47.330256,7.616258,4.290227,-3.964231,-0.930971,28.246984,30.514109,50.528995,75.686403,42.735554,-4.020542
49.881117,4.45008,3.271582,6.926929,0.188343,27.82501,29.766115,50.315789,76.598781,42.657632,-3.827778
51.876284,4.200064,-2.03275,3.422977,0.040741,26.501731,31.544907,50.688899,76.192824,43.463508,-4.180495
51.509239,3.97669,5.653203,0.948273,-1.404527,28.75704,31.003892,50.313739,76.157969,44.013062,-2.105206
50.071816,1.499079,0.818226,2.549552,0.182193,27.886462,32.858508,50.567946,75.177931,43.303563,-3.128496
49.846258,2.855719,1.332672,6.502519,0.260094,27.398939,31.219068,50.449043,73.064085,43.022634,-3.735497
51.431318,4.03612,2.845268,1.21071,0.612698,28.156854,33.99587,50.33424,78.154949,43.594745,-3.376628
51.1668,3.419278,4.361963,3.123635,-3.368451,27.886462,31.270301,50.440842,76.069806,45.001439,-2.490734
49.516122,2.406921,1.859416,3.306111,3.454033,27.59149,30.571489,50.321939,74.411124,42.797071,-2.775779
43.854606,3.343454,2.054127,-0.595598,-3.895307,27.300614,31.924027,50.524895,79.237501,42.840133,-3.842133
61.466618,3.556582,3.292078,1.971369,-4.282762,27.964302,31.77033,50.319889,78.622414,43.668566,-6.996081
48.941974,8.302775,2.812475,3.178992,-3.177798,28.222403,30.964955,50.418292,76.252282,45.401301,-1.594586
49.497668,-2.206067,1.881962,2.94936,0.118642,28.498939,30.866589,50.401891,74.847835,41.158662,-1.572029
55.073062,4.433685,1.769235,1.159453,-2.827244,25.551265,31.73959,50.33424,78.253363,41.823048,-4.090265
61.245161,5.071019,4.698095,1.41984,-2.638642,29.006947,32.430205,50.451093,76.018549,42.538699,-2.166726
42.355667,2.76555,2.170954,2.709475,-2.058485,27.628361,31.169885,50.301439,76.365048,43.957697,-1.633549
55.821506,0.521559,1.04778,8.366236,-1.176974,27.370261,30.372707,50.315789,76.721798,44.907113,-3.237182
54.431246,2.355689,1.59502,-0.275753,-1.746881,28.14866,32.729402,50.34039,76.287137,43.510671,-2.115459
53.662296,2.306505,7.012079,2.88375,-1.71203,29.947172,32.020345,50.33834,75.436268,43.510671,-0.891202
51.982911,3.456166,-2.397577,2.779185,-1.271275,27.536183,31.934274,50.467493,75.557234,43.713678,-2.757322
54.295911,5.519817,4.952244,2.758682,-4.528765,27.556667,29.878826,50.498244,76.065706,43.801853,-2.26926
54.135969,3.027861,4.605864,-4.925819,-3.532453,28.126127,32.381021,50.301439,81.488716,42.836032,-1.051156
53.022531,2.38233,3.242888,3.463983,-2.441839,27.235065,29.956699,50.299389,74.907293,42.204455,-1.592535
53.282948,2.947938,2.304177,0.499259,2.734474,27.56486,32.071577,50.403941,76.557775,41.548271,-2.326679
53.881703,2.568816,3.003086,0.484906,-4.612816,28.14866,32.03264,50.323989,78.081138,44.400621,-2.341034
60.783792,2.517584,2.433301,3.345066,0.061241,28.240839,31.981408,50.426492,73.773484,42.86474,-1.779147
43.893566,2.515534,2.683351,1.942665,0.358495,27.984786,32.229373,50.453143,76.836614,42.946763,1.255861
56.469474,-2.466329,2.701797,1.290672,0.721349,28.214209,32.686367,50.516695,76.754602,43.395839,-3.05262
56.549444,4.677553,3.677401,1.62692,-1.162624,28.04419,31.200625,50.33424,75.641296,46.404033,-0.995787
52.415573,4.304579,2.093069,1.491601,-0.564016,29.449406,30.786666,50.321939,73.917004,43.190782,-2.039584
44.057608,3.308616,0.965796,0.911368,0.344145,25.495958,31.5654,50.467493,78.214407,42.134735,-3.846234
63.178812,5.013639,5.151054,1.827849,-0.00846,27.425568,32.286754,50.33834,76.600831,42.43617,-3.643217
47.830586,7.60806,5.491285,-4.052394,-0.01871,28.431342,31.522365,50.379341,74.335263,43.978202,-3.509922
49.23725,2.335195,2.949797,5.344103,-0.529166,28.19987,29.503804,50.401891,74.281956,43.693172,-3.489416
53.131209,4.384502,-3.381379,0.247072,-0.410265,27.087579,31.809267,50.7258,76.102611,42.569457,-3.764207
54.185182,4.976751,5.47079,-0.427474,-2.060535,28.765234,32.518324,50.266588,77.138006,42.667885,-2.168777
50.744391,2.779895,1.683152,2.961661,-0.924821,27.454246,32.922037,50.578196,75.817621,43.822359,-3.093634
49.645306,2.620049,0.486193,7.289831,1.137504,27.130596,30.157531,50.35269,75.042612,44.195563,-3.753953
52.327401,3.034009,2.203747,1.231213,0.827951,27.908995,33.241727,50.36499,77.455801,42.79297,-3.120293
50.082069,2.872114,3.003086,1.512104,-5.270874,28.10974,32.950727,50.420342,75.159479,43.851067,-3.272043
49.989795,3.527892,2.326722,2.67052,5.456907,27.872123,32.674071,50.371141,74.858086,41.93788,-3.075178
44.691222,3.480758,3.001037,0.017439,-2.017484,27.986835,31.001842,50.373191,79.631156,43.707526,-2.804488
61.00935,2.544225,2.507086,0.958524,-3.885057,28.12203,30.735433,50.34039,74.404973,43.155922,-4.832612
47.781373,7.9339,1.54378,1.770441,-1.787881,27.79838,32.110514,50.34859,75.704855,42.778616,-2.96034
50.006199,2.609803,2.132012,2.541351,-0.732118,27.732831,32.436352,50.293238,76.986285,40.508629,-3.557088
54.283607,3.861929,1.914755,1.860654,-1.800182,26.176033,31.604337,50.520795,77.30613,43.155922,-4.408121
57.800269,3.488955,4.944046,2.5352,-1.910883,28.922962,30.913723,50.328089,74.327062,43.492216,-1.797604
45.819014,2.61595,1.582722,1.651524,-2.099485,27.956108,31.296942,50.36499,75.842224,43.063646,-3.243334
57.357354,4.073007,1.510987,7.14016,-1.498828,27.878269,31.028483,50.613047,77.146207,43.844915,-2.609673
55.887123,0.564595,1.388011,-1.415716,-2.390589,28.572683,34.159814,50.35269,75.922186,44.156602,-0.306758
52.719052,0.583039,7.446592,0.712489,-1.361476,28.785718,32.12281,50.295288,75.448569,44.535959,-0.917861
52.003417,1.650727,-3.617081,1.423941,1.984165,27.878269,32.253965,50.326039,76.44911,42.645329,-3.167459
53.467496,5.59974,2.689499,0.534114,-4.559515,27.599684,30.134989,50.498244,76.992436,42.356198,-2.416909
53.779177,3.224594,4.503384,1.056938,-2.027734,28.52352,32.53267,50.289138,75.916035,43.723931,-1.383366
52.489393,2.413069,2.363615,3.187194,-1.968284,27.872123,29.645206,50.36089,73.818591,43.89823,-1.63765
55.136628,2.347491,1.34702,0.044093,4.306843,28.222403,31.073568,50.432642,76.014449,39.329549,-1.871428
56.838569,3.312715,2.392309,-0.033818,-5.680879,28.103595,33.752003,50.35064,78.634716,41.870211,-1.881681
57.749005,3.02991,3.52983,3.031371,0.286744,27.714395,32.879001,50.35474,72.934917,43.215388,-2.129814
42.527912,2.101575,2.673103,2.362976,1.336357,27.593538,31.958866,50.35474,79.72957,44.431379,-2.769626
58.101697,-1.880227,1.855317,2.100538,2.109216,27.995028,30.997744,50.285038,74.646907,43.547582,-1.280832
55.770243,1.394564,2.216045,1.378835,0.438446,28.097449,31.766231,50.477743,73.287566,45.044501,-0.995787
49.169583,3.273778,4.495186,1.725334,0.704949,29.568214,32.108464,50.36499,72.690933,45.259812,-1.914492
51.97881,3.777907,-1.63718,1.856553,-0.572217,27.540279,31.241611,50.397791,76.114913,43.182579,-4.547567
60.709972,4.509509,2.951847,1.569512,0.194493,28.244936,31.1248,50.416242,75.182032,43.47171,0.025452
47.299498,1.076921,3.374062,-3.603379,-0.375414,28.470262,32.774487,50.391641,75.038512,42.001448,-3.056722
47.916708,4.857891,2.156607,2.95141,-0.088411,27.458343,31.339977,50.34039,76.221528,42.715048,-3.77241
52.298693,4.534101,-4.057743,1.329628,1.555709,28.556295,32.212979,50.278888,76.186673,44.226322,-4.051302
52.087488,3.734872,5.017831,1.618719,-4.545165,28.134321,30.505912,50.291188,75.415765,43.869522,-2.082648
50.928938,1.636382,0.986292,2.715626,-0.166312,27.931527,33.825778,50.36089,75.075417,43.324069,-3.440199
52.452483,2.52783,1.375714,4.729015,3.27568,27.616071,30.698546,50.391641,75.909884,42.737604,-3.536581
52.870791,4.081204,3.73069,4.651103,1.539309,28.591118,32.993762,50.533095,73.67097,43.194883,-3.02186
49.485364,2.697923,2.648508,3.732572,-6.57469,28.169144,31.620731,50.438792,74.019519,46.668557,-2.693751
49.858561,2.437661,1.133862,2.18665,6.119065,27.527989,31.626879,50.307589,74.195844,42.161393,-3.077229
45.769802,2.945889,2.263185,0.037942,-1.213874,27.601732,31.485477,50.289138,80.211387,43.116961,-3.235131
59.473502,3.253285,2.78788,1.866804,-3.044547,27.878269,31.952718,50.393691,72.654027,43.531177,-2.408707
47.063687,4.573038,2.921103,2.727928,-1.299975,28.021658,30.856342,50.33424,74.577197,44.273485,-2.849603
50.186646,2.386428,1.54583,1.688429,-0.676768,28.105643,31.639175,50.615097,76.145667,42.393108,-3.378679
57.673136,4.230804,-2.217213,1.370633,-2.361888,27.952012,32.579803,50.36089,78.261564,40.717788,-4.25432
55.099719,4.720588,5.802823,1.834,-2.267587,28.359647,32.016246,50.36294,75.469072,43.082101,-0.37238
45.890783,0.123994,2.310326,2.334271,-1.347126,27.956108,31.327681,50.282988,76.145667,45.311076,-5.94203
56.174197,4.134486,0.355019,8.419543,-0.89407,28.206016,29.415684,50.289138,75.768414,45.192143,-0.528232
56.978006,-0.972385,0.297631,-0.083025,-2.119985,28.728362,33.417967,50.436742,75.926286,43.465559,-0.645121
54.17903,0.349418,8.44884,0.911368,-2.152786,28.005271,33.309354,50.408042,76.31174,43.29331,-1.217261
53.729964,3.329109,1.027284,4.195938,2.42287,27.884414,31.981408,50.35269,75.723308,43.705476,-2.546102
53.6746,3.972591,3.589268,0.821155,-1.888333,28.359647,28.307013,50.373191,76.002147,43.709577,-1.533066
53.547467,2.488893,3.648706,3.841237,-2.595591,28.296146,31.376864,50.498244,73.209655,42.622772,-1.223413
51.781959,2.613901,1.912706,0.722741,-1.757131,27.548473,31.296942,50.373191,75.444469,42.954965,-1.947303
53.615134,3.152869,2.173003,0.622276,5.452807,27.849591,32.040838,50.205086,77.029341,41.146358,-1.943202
55.928134,2.745057,3.326921,1.298873,-4.282762,28.072868,31.692457,50.430592,77.353286,43.141568,-1.957557
57.851532,1.650727,2.746888,4.013462,-1.502928,27.890559,31.137096,50.375241,70.210085,44.488796,-1.602789
45.72469,2.648739,2.177102,2.598759,1.121104,27.898753,32.94048,50.291188,81.720399,43.242046,-2.220044
58.257537,1.904841,3.505235,1.801195,0.698799,28.281807,32.342085,50.383441,76.387601,43.479913,-0.638969
54.418943,0.326875,2.888309,2.168198,0.657798,28.195773,31.397357,50.457243,73.201454,45.969311,-0.924013
45.53194,1.945827,6.46074,1.811447,1.274856,28.249032,30.346066,50.36704,73.808339,45.481274,-1.110625
55.448309,2.452006,-1.014105,0.776048,0.247793,27.609926,31.62278,50.442893,77.0929,42.696593,-5.386296
56.672476,6.413315,3.622062,1.659725,-0.233962,28.119982,31.143244,50.299389,75.352206,42.969319,0.154645
48.191479,-0.21824,4.515682,2.18255,-0.611167,28.693539,32.358479,50.332189,74.5977,43.231793,-2.564558
49.493566,3.732822,1.736441,1.858603,0.104292,27.34568,30.712891,50.369091,75.536732,43.596795,-4.038998
53.857097,3.94595,-4.074139,0.288078,3.357681,29.570262,32.06338,50.295288,76.387601,42.391057,-3.784714
51.238569,6.337491,4.47469,1.458796,-7.858005,27.284227,31.333829,50.438792,76.328143,42.891398,-3.054671
50.414255,3.097537,3.519582,5.360505,0.624998,27.153128,34.407779,50.623297,75.067216,44.609779,-3.341767
51.05197,2.521682,1.996739,0.876513,2.240418,27.325196,30.022277,50.33424,80.024811,44.047922,-3.647318
53.139411,2.597507,3.33102,4.962748,0.549147,28.236742,31.100209,50.252237,74.942148,42.801172,-2.863958
51.248821,3.601667,2.78378,2.896052,-8.604214,27.634507,32.700712,50.584346,75.936538,44.499048,-3.103888
48.564676,3.685688,3.029731,3.084679,2.41262,27.650894,31.469083,50.369091,74.966752,44.406773,-3.452503
49.756034,2.650789,2.472243,1.214811,-1.092923,28.185531,30.930117,50.518745,82.109953,44.052023,-2.759373
57.316343,3.074995,1.867615,1.829899,-3.050697,28.154805,31.15554,50.35064,72.106601,43.36303,-0.7333
46.739703,0.570743,2.293929,2.04313,-1.548028,27.790187,31.813365,50.563846,75.225088,43.168225,-3.11004
50.892029,3.943901,1.927053,1.952917,-1.213874,27.661136,32.64948,50.287088,77.478354,43.836713,-3.817525
60.2363,5.605888,-1.774502,1.831949,-2.47259,27.820913,31.376864,50.293238,77.867908,40.976161,-4.313789
48.132014,3.370095,7.301071,2.000074,-2.763693,26.911415,30.751828,50.303489,76.729999,42.889347,1.188188
50.996606,-2.302385,3.308475,1.758139,-1.504978,27.337486,33.795038,50.371141,77.051894,43.153871,-7.572322
57.375809,9.052821,2.533731,3.384022,-1.308176,27.74717,30.428038,50.383441,77.043693,44.384216,-1.982165
55.481118,1.943778,3.617963,2.723827,-1.258975,29.406389,32.057232,50.389591,74.985204,44.980934,-0.948622
51.687635,0.804364,7.475286,3.591102,-7.726804,26.815139,30.80511,50.256337,74.651007,44.246828,-1.658157
55.409349,3.17951,1.500739,2.295316,1.053453,27.874172,31.544907,50.36294,76.373249,42.712998,-2.486632
